"Date of Download: 2023-10-05_19:41:25"
"Search Parameters: Data Level:plot  Trait List:79176,79120,79219  Trial List:1424,1425,1426,1427,1428,1429,1430,1431  Accession List:  Plot List:313912,313930,313922,313906,313917,313914,313929,313905,313902,313927,313908,313924,313918,313925,313923,313913,313919,313928,313907,313901,313926,313920,313899,313910,313934,313933,313911,313921,313909,313915,313932,313900,313931,313916,313904,313903,313942,313965,313957,313952,313945,313946,313964,313948,313936,313969,313950,313959,313956,313954,313958,313940,313961,313970,313951,313939,313955,313960,313937,313949,313967,313966,313941,313962,313953,313943,313968,313938,313963,313944,313947,313935,313976,313994,314002,313981,313971,313974,313995,313983,313986,313997,313982,314000,314006,313999,314001,313975,314003,313996,313980,313987,313998,314005,313989,313978,313990,313991,313977,314004,313979,313973,313992,313988,313993,313972,313984,313985,314012,314030,314038,314018,314008,314010,314031,314019,314022,314033,314017,314036,314042,314035,314037,314011,314040,314032,314016,314023,314034,314041,314025,314014,314026,314027,314013,314039,314015,314009,314028,314024,314029,314007,314020,314021,314069,314047,314053,314064,314072,314073,314046,314061,314078,314043,314065,314054,314051,314058,314052,314067,314057,314044,314063,314076,314059,314056,314074,314062,314049,314048,314068,314055,314066,314070,314050,314075,314045,314071,314060,314077,314084,314103,314109,314089,314079,314082,314102,314091,314094,314105,314090,314108,314114,314107,314110,314083,314112,314104,314088,314095,314106,314113,314097,314086,314098,314099,314085,314111,314087,314081,314100,314096,314101,314080,314092,314093,314143,314121,314128,314135,314140,314139,314120,314137,314149,314116,314133,314126,314129,314131,314127,314145,314125,314115,314134,314146,314130,314124,314148,314136,314118,314119,314144,314123,314132,314142,314117,314147,314122,314141,314138,314150,314177,314155,314160,314171,314179,314181,314154,314169,314186,314151,314172,314162,314159,314166,314161,314175,314165,314152,314173,314184,314167,314163,314182,314170,314157,314156,314176,314164,314174,314178,314158,314183,314153,314180,314168,314185  Plant List:  Location List:  Year List:2022  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Total milling percentage|LSU_01:0000101","Whole milling percentage|LSU_01:0000100","Yield|LSU_01:0000138","notes","22_DOP_1_Harvesting Diff Dates"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","53477","203L1104","RU2302011","plot","313927","22_DOP_1-rep1-203L1104_10","1","1","10","2","3","test","","70.14","64","7837.89421090909","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","60424","AddiJo","181L2027,20NTPID-375,RU2002126","plot","313922","22_DOP_1-rep1-AddiJo_3","1","1","3","1","3","test","","67.06","58.4","9840.09941590909","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","47237","Avant","171L1755,19NTPID-347,20NTPID-330,RU1902212","plot","313914","22_DOP_1-rep1-Avant_6","1","1","6","1","6","test","","69.61","63.34","9910.56118295455","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","43808","CLL17","17NTPID-127,19NTPID-103,20NTPID-100,CA17245,RU1602097","plot","313924","22_DOP_1-rep1-CLL17_12","1","1","12","2","1","test","","67.58","62.15","11576.8531725","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","51423","DG263L","RU2102020","plot","313906","22_DOP_1-rep1-DG263L_4","1","1","4","1","4","test","","66.59","56.57","10685.6406204545","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","49955","DGL2065","20DGL2065","plot","313912","22_DOP_1-rep1-DGL2065_1","1","1","1","1","1","test","","70.28","65.22","11002.6049241477","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","46822","PVL03","183L2069,20NTPID-370,RU2002074","plot","313905","22_DOP_1-rep1-PVL03_8","1","1","8","2","5","test","","70.3","59.85","9668.324235","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","313898","RT7331MA","","plot","313908","22_DOP_1-rep1-RT7331MA_11","1","1","11","2","2","test","","69.11","61.41","11694.4712877273","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","46101","RTv7231MA","","plot","313917","22_DOP_1-rep1-RTv7231MA_5","1","1","5","1","5","test","","69.61","55.94","9858.07095477273","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","42107","CLL19","172L1189,19NTPID-295,20NTPID-281,CLL19,RU1902026","plot","313930","22_DOP_1-rep1-RU1902026_2","1","1","2","1","2","test","","70.35","64.12","11896.2192375","","1"
